,Регион,Год,Ожидаемый возраст населения при рождении,Unnamed: 0,index,ranks
198,ВКО,2018,72.05,,352.4,199
199,ВКО,2018,72.05999999999999,,354.2,200
199,Жамбылская,2018,72.646,,346.2,191
198,Жамбылская,2018,72.66199999999999,,344.4,192
197,Жамбылская,2018,72.678,,342.6,193
196,Жамбылская,2018,72.694,,340.8,194
195,Жамбылская,2018,72.71000000000001,,339.0,195
194,Жамбылская,2018,72.726,,337.2,196
193,Жамбылская,2018,72.742,,335.4,197
192,Жамбылская,2018,72.75800000000001,,333.6,198
191,Жамбылская,2018,72.774,,331.8,199
190,Жамбылская,2018,72.79,,330.0,200
190,ЗКО,2018,72.43,,329.0,191
191,ЗКО,2018,72.468,,330.8,192
192,ЗКО,2018,72.506,,332.6,193
193,ЗКО,2018,72.54400000000001,,334.4,194
194,ЗКО,2018,72.58200000000001,,336.2,195
195,ЗКО,2018,72.62,,338.0,196
196,ЗКО,2018,72.658,,339.8,197
197,ЗКО,2018,72.696,,341.6,198
198,ЗКО,2018,72.73400000000001,,343.4,199
199,ЗКО,2018,72.772,,345.2,200
199,Карагандинская,2018,71.691,,347.2,191
198,Карагандинская,2018,71.692,,345.4,192
197,Карагандинская,2018,71.693,,343.6,193
196,Карагандинская,2018,71.694,,341.8,194
195,Карагандинская,2018,71.695,,340.0,195
194,Карагандинская,2018,71.696,,338.2,196
193,Карагандинская,2018,71.697,,336.4,197
192,Карагандинская,2018,71.69800000000001,,334.6,198
191,Карагандинская,2018,71.699,,332.8,199
190,Карагандинская,2018,71.7,,331.0,200
190,Костанайская,2018,72.36,,332.0,191
191,Костанайская,2018,72.366,,333.8,192
192,Костанайская,2018,72.372,,335.6,193
193,Костанайская,2018,72.378,,337.4,194
194,Костанайская,2018,72.384,,339.2,195
195,Костанайская,2018,72.39,,341.0,196
196,Костанайская,2018,72.396,,342.8,197
197,Костанайская,2018,72.402,,344.6,198
198,Костанайская,2018,72.408,,346.4,199
199,Костанайская,2018,72.414,,348.2,200
199,Кызылординская,2018,72.80900000000001,,349.2,191
198,Кызылординская,2018,72.828,,347.4,192
197,Кызылординская,2018,72.84700000000001,,345.6,193
196,Кызылординская,2018,72.866,,343.8,194
195,Кызылординская,2018,72.885,,342.0,195
194,Кызылординская,2018,72.90400000000001,,340.2,196
193,Кызылординская,2018,72.923,,338.4,197
192,Кызылординская,2018,72.94200000000001,,336.6,198
191,Кызылординская,2018,72.961,,334.8,199
190,Кызылординская,2018,72.98,,333.0,200
190,Мангистауская,2018,73.73,,334.0,191
191,Мангистауская,2018,73.771,,335.8,192
192,Мангистауская,2018,73.812,,337.6,193
193,Мангистауская,2018,73.85300000000001,,339.4,194
194,Мангистауская,2018,73.894,,341.2,195
195,Мангистауская,2018,73.935,,343.0,196
196,Мангистауская,2018,73.976,,344.8,197
197,Мангистауская,2018,74.017,,346.6,198
198,Мангистауская,2018,74.058,,348.4,199
199,Мангистауская,2018,74.099,,350.2,200
190,Павлодарская,2018,72.31,,335.0,191
191,Павлодарская,2018,72.312,,336.8,192
192,Павлодарская,2018,72.31400000000001,,338.6,193
193,Павлодарская,2018,72.316,,340.4,194
194,Павлодарская,2018,72.318,,342.2,195
195,Павлодарская,2018,72.32,,344.0,196
196,Павлодарская,2018,72.322,,345.8,197
197,Павлодарская,2018,72.324,,347.6,198
198,Павлодарская,2018,72.326,,349.4,199
199,Павлодарская,2018,72.328,,351.2,200
190,Республика Казахстан ,2018,73.15,,324.0,191
191,Республика Казахстан ,2018,73.153,,325.8,192
192,Республика Казахстан ,2018,73.156,,327.6,193
193,Республика Казахстан ,2018,73.159,,329.4,194
194,Республика Казахстан ,2018,73.162,,331.2,195
195,Республика Казахстан ,2018,73.165,,333.0,196
196,Республика Казахстан ,2018,73.168,,334.8,197
197,Республика Казахстан ,2018,73.171,,336.6,198
198,Республика Казахстан ,2018,73.174,,338.4,199
199,Республика Казахстан ,2018,73.177,,340.2,200
199,СКО,2018,70.744,,352.2,191
198,СКО,2018,70.788,,350.4,192
197,СКО,2018,70.83200000000001,,348.6,193
196,СКО,2018,70.876,,346.8,194
195,СКО,2018,70.92,,345.0,195
194,СКО,2018,70.964,,343.2,196
193,СКО,2018,71.008,,341.4,197
192,СКО,2018,71.052,,339.6,198
191,СКО,2018,71.096,,337.8,199
190,СКО,2018,71.14,,336.0,200
199,Туркестанская*,2018,72.75200000000001,,353.2,191
198,Туркестанская*,2018,72.774,,351.4,192
197,Туркестанская*,2018,72.796,,349.6,193
196,Туркестанская*,2018,72.818,,347.8,194
195,Туркестанская*,2018,72.84,,346.0,195
194,Туркестанская*,2018,72.86200000000001,,344.2,196
193,Туркестанская*,2018,72.884,,342.4,197
192,Туркестанская*,2018,72.906,,340.6,198
191,Туркестанская*,2018,72.928,,338.8,199
190,Туркестанская*,2018,72.95,,337.0,200
19,Шымкент,2018,74.434,,357.2,11
18,Шымкент,2018,74.458,,355.4,12
17,Шымкент,2018,74.482,,353.6,13
16,Шымкент,2018,74.506,,351.8,14
15,Шымкент,2018,74.53,,350.0,15
14,Шымкент,2018,74.554,,348.2,16
13,Шымкент,2018,74.578,,346.4,17
12,Шымкент,2018,74.602,,344.6,18
11,Шымкент,2018,74.626,,342.8,19
10,Шымкент,2018,74.65,,341.0,20
209,Акмолинская,2019,70.224,,359.2,201
208,Акмолинская,2019,70.358,,357.4,202
207,Акмолинская,2019,70.492,,355.6,203
206,Акмолинская,2019,70.626,,353.8,204
205,Акмолинская,2019,70.76,,352.0,205
204,Акмолинская,2019,70.894,,350.2,206
203,Акмолинская,2019,71.028,,348.4,207
202,Акмолинская,2019,71.162,,346.6,208
201,Акмолинская,2019,71.296,,344.8,209
200,Акмолинская,2019,71.43,,343.0,210
209,Актюбинская,2019,71.87899999999999,,360.2,201
208,Актюбинская,2019,72.068,,358.4,202
207,Актюбинская,2019,72.257,,356.6,203
206,Актюбинская,2019,72.446,,354.8,204
205,Актюбинская,2019,72.63499999999999,,353.0,205
204,Актюбинская,2019,72.824,,351.2,206
203,Актюбинская,2019,73.013,,349.4,207
202,Актюбинская,2019,73.202,,347.6,208
201,Актюбинская,2019,73.39099999999999,,345.8,209
200,Актюбинская,2019,73.58,,344.0,210
209,Алматинская,2019,71.898,,361.2,201
208,Алматинская,2019,72.066,,359.4,202
207,Алматинская,2019,72.23400000000001,,357.6,203
206,Алматинская,2019,72.402,,355.8,204
205,Алматинская,2019,72.57,,354.0,205
204,Алматинская,2019,72.738,,352.2,206
203,Алматинская,2019,72.906,,350.4,207
202,Алматинская,2019,73.074,,348.6,208
201,Алматинская,2019,73.24199999999999,,346.8,209
200,Алматинская,2019,73.41,,345.0,210
209,Алматы,2019,74.163,,374.2,201
208,Алматы,2019,74.306,,372.4,202
207,Алматы,2019,74.449,,370.6,203
206,Алматы,2019,74.592,,368.8,204
205,Алматы,2019,74.735,,367.0,205
204,Алматы,2019,74.878,,365.2,206
203,Алматы,2019,75.021,,363.4,207
202,Алматы,2019,75.164,,361.6,208
201,Алматы,2019,75.307,,359.8,209
200,Алматы,2019,75.45,,358.0,210
209,Астана,2019,73.816,,373.2,201
208,Астана,2019,74.142,,371.4,202
207,Астана,2019,74.46799999999999,,369.6,203
206,Астана,2019,74.794,,367.8,204
205,Астана,2019,75.12,,366.0,205
204,Астана,2019,75.446,,364.2,206
203,Астана,2019,75.77199999999999,,362.4,207
202,Астана,2019,76.098,,360.6,208
201,Астана,2019,76.424,,358.8,209
200,Астана,2019,76.75,,357.0,210
209,Атырауская,2019,70.795,,362.2,201
208,Атырауская,2019,71.07,,360.4,202
207,Атырауская,2019,71.345,,358.6,203
206,Атырауская,2019,71.61999999999999,,356.8,204
205,Атырауская,2019,71.895,,355.0,205
204,Атырауская,2019,72.17,,353.2,206
203,Атырауская,2019,72.445,,351.4,207
202,Атырауская,2019,72.72,,349.6,208
201,Атырауская,2019,72.99499999999999,,347.8,209
200,Атырауская,2019,73.27,,346.0,210
209,ВКО,2019,70.972,,372.2,201
208,ВКО,2019,71.094,,370.4,202
207,ВКО,2019,71.216,,368.6,203
206,ВКО,2019,71.338,,366.8,204
205,ВКО,2019,71.46,,365.0,205
204,ВКО,2019,71.582,,363.2,206
203,ВКО,2019,71.704,,361.4,207
202,ВКО,2019,71.826,,359.6,208
201,ВКО,2019,71.948,,357.8,209
200,ВКО,2019,72.07,,356.0,210
209,Жамбылская,2019,70.83,,364.2,201
208,Жамбылская,2019,71.03,,362.4,202
207,Жамбылская,2019,71.22999999999999,,360.6,203
206,Жамбылская,2019,71.42999999999999,,358.8,204
205,Жамбылская,2019,71.63,,357.0,205
204,Жамбылская,2019,71.83,,355.2,206
203,Жамбылская,2019,72.03,,353.4,207
202,Жамбылская,2019,72.22999999999999,,351.6,208
201,Жамбылская,2019,72.42999999999999,,349.8,209
200,Жамбылская,2019,72.63,,348.0,210
209,ЗКО,2019,71.06400000000001,,363.2,201
208,ЗКО,2019,71.25800000000001,,361.4,202
207,ЗКО,2019,71.452,,359.6,203
206,ЗКО,2019,71.646,,357.8,204
205,ЗКО,2019,71.84,,356.0,205
204,ЗКО,2019,72.034,,354.2,206
203,ЗКО,2019,72.22800000000001,,352.4,207
202,ЗКО,2019,72.422,,350.6,208
201,ЗКО,2019,72.616,,348.8,209
200,ЗКО,2019,72.81,,347.0,210
209,Карагандинская,2019,70.511,,365.2,201
208,Карагандинская,2019,70.642,,363.4,202
207,Карагандинская,2019,70.773,,361.6,203
206,Карагандинская,2019,70.904,,359.8,204
205,Карагандинская,2019,71.035,,358.0,205
204,Карагандинская,2019,71.166,,356.2,206
203,Карагандинская,2019,71.297,,354.4,207
202,Карагандинская,2019,71.428,,352.6,208
201,Карагандинская,2019,71.559,,350.8,209
200,Карагандинская,2019,71.69,,349.0,210
209,Костанайская,2019,70.89,,366.2,201
208,Костанайская,2019,71.06,,364.4,202
207,Костанайская,2019,71.23,,362.6,203
206,Костанайская,2019,71.4,,360.8,204
205,Костанайская,2019,71.57,,359.0,205
204,Костанайская,2019,71.74,,357.2,206
203,Костанайская,2019,71.91,,355.4,207
202,Костанайская,2019,72.08,,353.6,208
201,Костанайская,2019,72.25,,351.8,209
200,Костанайская,2019,72.42,,350.0,210
209,Кызылординская,2019,70.414,,367.2,201
208,Кызылординская,2019,70.67800000000001,,365.4,202
207,Кызылординская,2019,70.94200000000001,,363.6,203
206,Кызылординская,2019,71.206,,361.8,204
205,Кызылординская,2019,71.47,,360.0,205
204,Кызылординская,2019,71.73400000000001,,358.2,206
203,Кызылординская,2019,71.998,,356.4,207
202,Кызылординская,2019,72.262,,354.6,208
201,Кызылординская,2019,72.52600000000001,,352.8,209
200,Кызылординская,2019,72.79,,351.0,210
209,Мангистауская,2019,71.404,,368.2,201
208,Мангистауская,2019,71.708,,366.4,202
207,Мангистауская,2019,72.012,,364.6,203
206,Мангистауская,2019,72.316,,362.8,204
205,Мангистауская,2019,72.62,,361.0,205
204,Мангистауская,2019,72.92399999999999,,359.2,206
203,Мангистауская,2019,73.228,,357.4,207
202,Мангистауская,2019,73.532,,355.6,208
201,Мангистауская,2019,73.836,,353.8,209
200,Мангистауская,2019,74.14,,352.0,210
209,Павлодарская,2019,70.908,,369.2,201
208,Павлодарская,2019,71.066,,367.4,202
207,Павлодарская,2019,71.224,,365.6,203
206,Павлодарская,2019,71.382,,363.8,204
205,Павлодарская,2019,71.53999999999999,,362.0,205
204,Павлодарская,2019,71.698,,360.2,206
203,Павлодарская,2019,71.856,,358.4,207
202,Павлодарская,2019,72.014,,356.6,208
201,Павлодарская,2019,72.172,,354.8,209
200,Павлодарская,2019,72.33,,353.0,210
209,Республика Казахстан ,2019,71.551,,358.2,201
208,Республика Казахстан ,2019,71.732,,356.4,202
207,Республика Казахстан ,2019,71.91300000000001,,354.6,203
206,Республика Казахстан ,2019,72.09400000000001,,352.8,204
205,Республика Казахстан ,2019,72.275,,351.0,205
204,Республика Казахстан ,2019,72.456,,349.2,206
203,Республика Казахстан ,2019,72.637,,347.4,207
202,Республика Казахстан ,2019,72.81800000000001,,345.6,208
201,Республика Казахстан ,2019,72.99900000000001,,343.8,209
200,Республика Казахстан ,2019,73.18,,342.0,210
209,СКО,2019,69.98,,370.2,201
208,СКО,2019,70.06,,368.4,202
207,СКО,2019,70.14,,366.6,203
206,СКО,2019,70.22,,364.8,204
205,СКО,2019,70.30000000000001,,363.0,205
204,СКО,2019,70.38000000000001,,361.2,206
203,СКО,2019,70.46000000000001,,359.4,207
202,СКО,2019,70.54,,357.6,208
201,СКО,2019,70.62,,355.8,209
200,СКО,2019,70.7,,354.0,210
209,Туркестанская*,2019,70.876,,371.2,201
208,Туркестанская*,2019,71.08200000000001,,369.4,202
207,Туркестанская*,2019,71.288,,367.6,203
206,Туркестанская*,2019,71.494,,365.8,204
205,Туркестанская*,2019,71.7,,364.0,205
204,Туркестанская*,2019,71.906,,362.2,206
203,Туркестанская*,2019,72.11200000000001,,360.4,207
202,Туркестанская*,2019,72.318,,358.6,208
201,Туркестанская*,2019,72.524,,356.8,209
200,Туркестанская*,2019,72.73,,355.0,210
29,Шымкент,2019,71.341,,375.2,21
28,Шымкент,2019,71.682,,373.4,22
27,Шымкент,2019,72.023,,371.6,23
26,Шымкент,2019,72.364,,369.8,24
25,Шымкент,2019,72.705,,368.0,25
24,Шымкент,2019,73.04599999999999,,366.2,26
23,Шымкент,2019,73.387,,364.4,27
22,Шымкент,2019,73.728,,362.6,28
21,Шымкент,2019,74.069,,360.8,29
20,Шымкент,2019,74.41,,359.0,30
219,Акмолинская,2020,68.983,,377.2,211
218,Акмолинская,2020,69.106,,375.4,212
217,Акмолинская,2020,69.229,,373.6,213
216,Акмолинская,2020,69.352,,371.8,214
215,Акмолинская,2020,69.475,,370.0,215
214,Акмолинская,2020,69.598,,368.2,216
213,Акмолинская,2020,69.721,,366.4,217
212,Акмолинская,2020,69.84400000000001,,364.6,218
211,Акмолинская,2020,69.967,,362.8,219
210,Акмолинская,2020,70.09,,361.0,220
219,Актюбинская,2020,70.916,,378.2,211
218,Актюбинская,2020,71.002,,376.4,212
217,Актюбинская,2020,71.088,,374.6,213
216,Актюбинская,2020,71.17399999999999,,372.8,214
215,Актюбинская,2020,71.25999999999999,,371.0,215
214,Актюбинская,2020,71.346,,369.2,216
213,Актюбинская,2020,71.432,,367.4,217
212,Актюбинская,2020,71.518,,365.6,218
211,Актюбинская,2020,71.604,,363.8,219
210,Актюбинская,2020,71.69,,362.0,220
219,Алматинская,2020,70.65,,379.2,211
218,Алматинская,2020,70.77,,377.4,212
217,Алматинская,2020,70.89,,375.6,213
216,Алматинская,2020,71.01,,373.8,214
215,Алматинская,2020,71.13,,372.0,215
214,Алматинская,2020,71.25,,370.2,216
213,Алматинская,2020,71.37,,368.4,217
212,Алматинская,2020,71.49000000000001,,366.6,218
211,Алматинская,2020,71.61,,364.8,219
210,Алматинская,2020,71.73,,363.0,220
219,Алматы,2020,72.175,,392.2,211
218,Алматы,2020,72.38,,390.4,212
217,Алматы,2020,72.585,,388.6,213
216,Алматы,2020,72.78999999999999,,386.8,214
215,Алматы,2020,72.995,,385.0,215
214,Алматы,2020,73.2,,383.2,216
213,Алматы,2020,73.405,,381.4,217
212,Алматы,2020,73.61,,379.6,218
211,Алматы,2020,73.815,,377.8,219
210,Алматы,2020,74.02,,376.0,220
219,Астана,2020,72.932,,391.2,211
218,Астана,2020,72.994,,389.4,212
217,Астана,2020,73.056,,387.6,213
216,Астана,2020,73.118,,385.8,214
215,Астана,2020,73.18,,384.0,215
214,Астана,2020,73.242,,382.2,216
213,Астана,2020,73.304,,380.4,217
212,Астана,2020,73.366,,378.6,218
211,Астана,2020,73.428,,376.8,219
210,Астана,2020,73.49,,375.0,220
219,Атырауская,2020,70.061,,380.2,211
218,Атырауская,2020,70.11200000000001,,378.4,212
217,Атырауская,2020,70.163,,376.6,213
216,Атырауская,2020,70.214,,374.8,214
215,Атырауская,2020,70.265,,373.0,215
214,Атырауская,2020,70.316,,371.2,216
213,Атырауская,2020,70.367,,369.4,217
212,Атырауская,2020,70.41799999999999,,367.6,218
211,Атырауская,2020,70.469,,365.8,219
210,Атырауская,2020,70.52,,364.0,220
219,ВКО,2020,69.482,,390.2,211
218,ВКО,2020,69.634,,388.4,212
217,ВКО,2020,69.786,,386.6,213
216,ВКО,2020,69.938,,384.8,214
215,ВКО,2020,70.09,,383.0,215
214,ВКО,2020,70.24199999999999,,381.2,216
213,ВКО,2020,70.39399999999999,,379.4,217
212,ВКО,2020,70.54599999999999,,377.6,218
211,ВКО,2020,70.698,,375.8,219
210,ВКО,2020,70.85,,374.0,220
219,Жамбылская,2020,69.298,,382.2,211
218,Жамбылская,2020,69.446,,380.4,212
217,Жамбылская,2020,69.59400000000001,,378.6,213
216,Жамбылская,2020,69.742,,376.8,214
215,Жамбылская,2020,69.89,,375.0,215
214,Жамбылская,2020,70.038,,373.2,216
213,Жамбылская,2020,70.18599999999999,,371.4,217
212,Жамбылская,2020,70.334,,369.6,218
211,Жамбылская,2020,70.482,,367.8,219
210,Жамбылская,2020,70.63,,366.0,220
219,ЗКО,2020,69.80799999999999,,381.2,211
218,ЗКО,2020,69.926,,379.4,212
217,ЗКО,2020,70.044,,377.6,213
216,ЗКО,2020,70.162,,375.8,214
215,ЗКО,2020,70.28,,374.0,215
214,ЗКО,2020,70.398,,372.2,216
213,ЗКО,2020,70.516,,370.4,217
212,ЗКО,2020,70.634,,368.6,218
211,ЗКО,2020,70.75200000000001,,366.8,219
210,ЗКО,2020,70.87,,365.0,220
219,Карагандинская,2020,69.264,,383.2,211
218,Карагандинская,2020,69.388,,381.4,212
217,Карагандинская,2020,69.512,,379.6,213
216,Карагандинская,2020,69.636,,377.8,214
215,Карагандинская,2020,69.75999999999999,,376.0,215
214,Карагандинская,2020,69.884,,374.2,216
213,Карагандинская,2020,70.008,,372.4,217
212,Карагандинская,2020,70.13199999999999,,370.6,218
211,Карагандинская,2020,70.256,,368.8,219
210,Карагандинская,2020,70.38,,367.0,220
219,Костанайская,2020,69.433,,384.2,211
218,Костанайская,2020,69.57600000000001,,382.4,212
217,Костанайская,2020,69.71900000000001,,380.6,213
216,Костанайская,2020,69.86200000000001,,378.8,214
215,Костанайская,2020,70.005,,377.0,215
214,Костанайская,2020,70.148,,375.2,216
213,Костанайская,2020,70.291,,373.4,217
212,Костанайская,2020,70.434,,371.6,218
211,Костанайская,2020,70.577,,369.8,219
210,Костанайская,2020,70.72,,368.0,220
210,Кызылординская,2020,70.15,,369.0,211
211,Кызылординская,2020,70.218,,370.8,212
212,Кызылординская,2020,70.286,,372.6,213
213,Кызылординская,2020,70.354,,374.4,214
214,Кызылординская,2020,70.422,,376.2,215
215,Кызылординская,2020,70.49000000000001,,378.0,216
216,Кызылординская,2020,70.558,,379.8,217
217,Кызылординская,2020,70.626,,381.6,218
218,Кызылординская,2020,70.694,,383.4,219
219,Кызылординская,2020,70.762,,385.2,220
219,Мангистауская,2020,70.62299999999999,,386.2,211
218,Мангистауская,2020,70.67599999999999,,384.4,212
217,Мангистауская,2020,70.729,,382.6,213
216,Мангистауская,2020,70.782,,380.8,214
215,Мангистауская,2020,70.835,,379.0,215
214,Мангистауская,2020,70.88799999999999,,377.2,216
213,Мангистауская,2020,70.94099999999999,,375.4,217
212,Мангистауская,2020,70.994,,373.6,218
211,Мангистауская,2020,71.047,,371.8,219
210,Мангистауская,2020,71.1,,370.0,220
219,Павлодарская,2020,69.11200000000001,,387.2,211
218,Павлодарская,2020,69.29400000000001,,385.4,212
217,Павлодарская,2020,69.476,,383.6,213
216,Павлодарская,2020,69.658,,381.8,214
215,Павлодарская,2020,69.84,,380.0,215
214,Павлодарская,2020,70.022,,378.2,216
213,Павлодарская,2020,70.20400000000001,,376.4,217
212,Павлодарская,2020,70.386,,374.6,218
211,Павлодарская,2020,70.568,,372.8,219
210,Павлодарская,2020,70.75,,371.0,220
219,Республика Казахстан ,2020,70.34400000000001,,376.2,211
218,Республика Казахстан ,2020,70.458,,374.4,212
217,Республика Казахстан ,2020,70.572,,372.6,213
216,Республика Казахстан ,2020,70.686,,370.8,214
215,Республика Казахстан ,2020,70.80000000000001,,369.0,215
214,Республика Казахстан ,2020,70.914,,367.2,216
213,Республика Казахстан ,2020,71.028,,365.4,217
212,Республика Казахстан ,2020,71.14200000000001,,363.6,218
211,Республика Казахстан ,2020,71.256,,361.8,219
210,Республика Казахстан ,2020,71.37,,360.0,220
219,СКО,2020,68.70299999999999,,388.2,211
218,СКО,2020,68.836,,386.4,212
217,СКО,2020,68.969,,384.6,213
216,СКО,2020,69.102,,382.8,214
215,СКО,2020,69.235,,381.0,215
214,СКО,2020,69.368,,379.2,216
213,СКО,2020,69.501,,377.4,217
212,СКО,2020,69.634,,375.6,218
211,СКО,2020,69.76700000000001,,373.8,219
210,СКО,2020,69.9,,372.0,220
219,Туркестанская*,2020,70.22900000000001,,389.2,211
218,Туркестанская*,2020,70.278,,387.4,212
217,Туркестанская*,2020,70.327,,385.6,213
216,Туркестанская*,2020,70.376,,383.8,214
215,Туркестанская*,2020,70.42500000000001,,382.0,215
214,Туркестанская*,2020,70.474,,380.2,216
213,Туркестанская*,2020,70.523,,378.4,217
212,Туркестанская*,2020,70.572,,376.6,218
211,Туркестанская*,2020,70.62100000000001,,374.8,219
210,Туркестанская*,2020,70.67,,373.0,220
39,Шымкент,2020,70.541,,393.2,31
38,Шымкент,2020,70.592,,391.4,32
37,Шымкент,2020,70.643,,389.6,33
36,Шымкент,2020,70.694,,387.8,34
35,Шымкент,2020,70.745,,386.0,35
34,Шымкент,2020,70.79599999999999,,384.2,36
33,Шымкент,2020,70.847,,382.4,37
32,Шымкент,2020,70.898,,380.6,38
31,Шымкент,2020,70.949,,378.8,39
30,Шымкент,2020,71.0,,377.0,40
220,Акмолинская,2021,68.86,,379.0,221
221,Акмолинская,2021,69.322,,380.9,222
222,Акмолинская,2021,69.784,,382.8,223
223,Акмолинская,2021,70.246,,384.7,224
224,Акмолинская,2021,70.708,,386.6,225
225,Акмолинская,2021,71.17,,388.5,226
226,Акмолинская,2021,71.632,,390.4,227
227,Акмолинская,2021,72.09400000000001,,392.3,228
228,Акмолинская,2021,72.556,,394.2,229
229,Акмолинская,2021,73.018,,396.1,230
220,Актюбинская,2021,70.83,,380.0,221
221,Актюбинская,2021,71.232,,381.9,222
222,Актюбинская,2021,71.634,,383.8,223
223,Актюбинская,2021,72.036,,385.7,224
224,Актюбинская,2021,72.438,,387.6,225
225,Актюбинская,2021,72.84,,389.5,226
226,Актюбинская,2021,73.24199999999999,,391.4,227
227,Актюбинская,2021,73.64399999999999,,393.3,228
228,Актюбинская,2021,74.04599999999999,,395.2,229
229,Актюбинская,2021,74.448,,397.1,230
220,Алматинская,2021,70.53,,381.0,221
221,Алматинская,2021,70.864,,382.9,222
222,Алматинская,2021,71.19800000000001,,384.8,223
223,Алматинская,2021,71.532,,386.7,224
224,Алматинская,2021,71.866,,388.6,225
225,Алматинская,2021,72.2,,390.5,226
226,Алматинская,2021,72.534,,392.4,227
227,Алматинская,2021,72.86800000000001,,394.3,228
228,Алматинская,2021,73.202,,396.2,229
229,Алматинская,2021,73.536,,398.1,230
220,Алматы,2021,71.97,,394.0,221
221,Алматы,2021,72.505,,396.1,222
222,Алматы,2021,73.03999999999999,,398.2,223
223,Алматы,2021,73.575,,400.3,224
224,Алматы,2021,74.11,,402.4,225
225,Алматы,2021,74.645,,404.5,226
226,Алматы,2021,75.17999999999999,,406.6,227
227,Алматы,2021,75.71499999999999,,408.7,228
228,Алматы,2021,76.25,,410.8,229
229,Алматы,2021,76.785,,412.9,230
220,Астана,2021,72.87,,393.0,221
221,Астана,2021,73.313,,395.1,222
222,Астана,2021,73.756,,397.2,223
223,Астана,2021,74.199,,399.3,224
224,Астана,2021,74.642,,401.4,225
225,Астана,2021,75.08500000000001,,403.5,226
226,Астана,2021,75.528,,405.6,227
227,Астана,2021,75.971,,407.7,228
228,Астана,2021,76.414,,409.8,229
229,Астана,2021,76.857,,411.9,230
220,Атырауская,2021,70.01,,382.0,221
221,Атырауская,2021,70.47500000000001,,383.9,222
222,Атырауская,2021,70.94,,385.8,223
223,Атырауская,2021,71.405,,387.7,224
224,Атырауская,2021,71.87,,389.6,225
225,Атырауская,2021,72.33500000000001,,391.5,226
226,Атырауская,2021,72.8,,393.4,227
227,Атырауская,2021,73.265,,395.3,228
228,Атырауская,2021,73.73,,397.2,229
229,Атырауская,2021,74.195,,399.1,230
220,ВКО,2021,69.33,,392.0,221
221,ВКО,2021,69.634,,394.1,222
222,ВКО,2021,69.938,,396.2,223
223,ВКО,2021,70.242,,398.3,224
224,ВКО,2021,70.546,,400.4,225
225,ВКО,2021,70.85,,402.5,226
226,ВКО,2021,71.154,,404.6,227
227,ВКО,2021,71.458,,406.7,228
228,ВКО,2021,71.762,,408.8,229
229,ВКО,2021,72.066,,410.9,230
220,Жамбылская,2021,69.15,,384.0,221
221,Жамбылская,2021,69.72200000000001,,385.9,222
222,Жамбылская,2021,70.29400000000001,,387.8,223
223,Жамбылская,2021,70.866,,389.7,224
224,Жамбылская,2021,71.438,,391.6,225
225,Жамбылская,2021,72.01,,393.5,226
226,Жамбылская,2021,72.58200000000001,,395.4,227
227,Жамбылская,2021,73.15400000000001,,397.3,228
228,Жамбылская,2021,73.726,,399.2,229
229,Жамбылская,2021,74.298,,401.1,230
220,ЗКО,2021,69.69,,383.0,221
221,ЗКО,2021,70.097,,384.9,222
222,ЗКО,2021,70.504,,386.8,223
223,ЗКО,2021,70.911,,388.7,224
224,ЗКО,2021,71.318,,390.6,225
225,ЗКО,2021,71.725,,392.5,226
226,ЗКО,2021,72.132,,394.4,227
227,ЗКО,2021,72.539,,396.3,228
228,ЗКО,2021,72.946,,398.2,229
229,ЗКО,2021,73.35300000000001,,400.1,230
220,Карагандинская,2021,69.14,,385.0,221
221,Карагандинская,2021,69.456,,387.0,222
222,Карагандинская,2021,69.772,,389.0,223
223,Карагандинская,2021,70.088,,391.0,224
224,Карагандинская,2021,70.404,,393.0,225
225,Карагандинская,2021,70.72,,395.0,226
226,Карагандинская,2021,71.036,,397.0,227
227,Карагандинская,2021,71.352,,399.0,228
228,Карагандинская,2021,71.66799999999999,,401.0,229
229,Карагандинская,2021,71.984,,403.0,230
220,Костанайская,2021,69.29,,386.0,221
221,Костанайская,2021,69.629,,388.0,222
222,Костанайская,2021,69.968,,390.0,223
223,Костанайская,2021,70.307,,392.0,224
224,Костанайская,2021,70.646,,394.0,225
225,Костанайская,2021,70.98500000000001,,396.0,226
226,Костанайская,2021,71.32400000000001,,398.0,227
227,Костанайская,2021,71.66300000000001,,400.0,228
228,Костанайская,2021,72.00200000000001,,402.0,229
229,Костанайская,2021,72.34100000000001,,404.0,230
220,Кызылординская,2021,70.83,,387.0,221
221,Кызылординская,2021,71.16799999999999,,389.0,222
222,Кызылординская,2021,71.506,,391.0,223
223,Кызылординская,2021,71.844,,393.0,224
224,Кызылординская,2021,72.182,,395.0,225
225,Кызылординская,2021,72.52,,397.0,226
226,Кызылординская,2021,72.85799999999999,,399.0,227
227,Кызылординская,2021,73.196,,401.0,228
228,Кызылординская,2021,73.53399999999999,,403.0,229
229,Кызылординская,2021,73.872,,405.0,230
220,Мангистауская,2021,70.57,,388.0,221
221,Мангистауская,2021,71.09599999999999,,390.0,222
222,Мангистауская,2021,71.622,,392.0,223
223,Мангистауская,2021,72.148,,394.0,224
224,Мангистауская,2021,72.67399999999999,,396.0,225
225,Мангистауская,2021,73.19999999999999,,398.0,226
226,Мангистауская,2021,73.726,,400.0,227
227,Мангистауская,2021,74.252,,402.0,228
228,Мангистауская,2021,74.77799999999999,,404.0,229
229,Мангистауская,2021,75.304,,406.0,230
