,Регион,Год,Ожидаемый возраст населения при рождении
745,Кызылординская,2043,81.04034057971012
801,Павлодарская,2043,80.38163768115942
885,Туркестанская*,2043,79.5908550724638
997,Ұлытау,2043,71.44
689,Карагандинская,2043,81.00465217391297
857,Северо-Казахстанская,2043,78.33147101449276
773,Мангистауская,2043,86.1468768115941
941,г. Астана,2043,83.70052173913052
437,Абай,2043,73.8
549,Атырауская,2043,83.01995652173912
717,Костанайская,2043,80.14324637681159
493,Актюбинская,2043,84.88543478260863
465,Акмолинская,2043,80.78057246376818
829,Республика Казахстан ,2043,81.8888695652173
633,Жетісу,2043,74.38
969,г. Шымкент,2043,67.01123809523801
605,Жамбылская,2043,79.8253768115942
577,Восточно-Казахстанская,2043,80.30081159420286
661,Западно-Казахстанская,2043,81.18250000000012
521,Алматинская,2043,80.471
522,Алматинская,2044,80.80630000000008
886,Туркестанская*,2044,79.89189420289858
550,Атырауская,2044,83.45637826086954
662,Западно-Казахстанская,2044,81.56450000000007
942,г. Астана,2044,84.03296086956527
998,Ұлытау,2044,71.44
634,Жетісу,2044,74.38
830,Республика Казахстан ,2044,82.28383478260866
466,Акмолинская,2044,81.19910289855079
494,Актюбинская,2044,85.37371739130435
774,Мангистауская,2044,86.66775507246382
746,Кызылординская,2044,81.41245362318841
718,Костанайская,2044,80.51208985507253
914,г. Алматы,2044,85.33083333333332
970,г. Шымкент,2044,66.73866666666663
578,Восточно-Казахстанская,2044,80.67927246376803
858,Северо-Казахстанская,2044,78.6651188405798
606,Жамбылская,2044,80.15555507246381
690,Карагандинская,2044,81.42602608695643
802,Павлодарская,2044,80.75108550724633
438,Абай,2044,73.8
887,Туркестанская*,2045,80.19293333333337
747,Кызылординская,2045,81.7845666666667
915,г. Алматы,2045,85.73583333333329
523,Алматинская,2045,81.14160000000004
635,Жетісу,2045,74.38
803,Павлодарская,2045,81.12053333333336
831,Республика Казахстан ,2045,82.67879999999991
467,Акмолинская,2045,81.6176333333334
971,г. Шымкент,2045,66.46609523809514
579,Восточно-Казахстанская,2045,81.05773333333332
663,Западно-Казахстанская,2045,81.94650000000013
775,Мангистауская,2045,87.18863333333331
607,Жамбылская,2045,80.48573333333331
439,Абай,2045,73.8
691,Карагандинская,2045,81.84739999999988
719,Костанайская,2045,80.88093333333336
999,Ұлытау,2045,71.44
495,Актюбинская,2045,85.86199999999997
551,Атырауская,2045,83.89279999999997
943,г. Астана,2045,84.36540000000002
859,Северо-Казахстанская,2045,78.99876666666671
720,Костанайская,2046,81.24977681159419
664,Западно-Казахстанская,2046,82.32850000000008
748,Кызылординская,2046,82.156679710145
692,Карагандинская,2046,82.26877391304345
944,г. Астана,2046,84.69783913043477
972,г. Шымкент,2046,66.19352380952375
468,Акмолинская,2046,82.03616376811601
496,Актюбинская,2046,86.35028260869558
916,г. Алматы,2046,86.14083333333338
1000,Ұлытау,2046,71.44
636,Жетісу,2046,74.38
832,Республика Казахстан ,2046,83.07376521739127
580,Восточно-Казахстанская,2046,81.43619420289849
440,Абай,2046,73.8
524,Алматинская,2046,81.4769
888,Туркестанская*,2046,80.49397246376816
552,Атырауская,2046,84.32922173913039
776,Мангистауская,2046,87.70951159420281
860,Северо-Казахстанская,2046,79.33241449275363
608,Жамбылская,2046,80.81591159420293
804,Павлодарская,2046,81.48998115942027
665,Западно-Казахстанская,2047,82.71050000000014
805,Павлодарская,2047,81.8594289855073
777,Мангистауская,2047,88.23038985507253
441,Абай,2047,73.8
945,г. Астана,2047,85.03027826086964
637,Жетісу,2047,74.38
609,Жамбылская,2047,81.14608985507243
721,Костанайская,2047,81.61862028985513
861,Северо-Казахстанская,2047,79.66606231884066
497,Актюбинская,2047,86.8385652173913
693,Карагандинская,2047,82.6901478260869
1001,Ұлытау,2047,71.44
553,Атырауская,2047,84.76564347826081
581,Восточно-Казахстанская,2047,81.81465507246378
833,Республика Казахстан ,2047,83.46873043478251
889,Туркестанская*,2047,80.79501159420295
525,Алматинская,2047,81.81220000000008
973,г. Шымкент,2047,65.92095238095226
749,Кызылординская,2047,82.52879275362318
917,г. Алматы,2047,86.54583333333335
469,Акмолинская,2047,82.45469420289862
834,Республика Казахстан ,2048,83.86369565217387
1002,Ұлытау,2048,71.44
862,Северо-Казахстанская,2048,79.99971014492758
666,Западно-Казахстанская,2048,83.09250000000009
974,г. Шымкент,2048,65.64838095238088
582,Восточно-Казахстанская,2048,82.19311594202895
806,Павлодарская,2048,82.2288768115942
470,Акмолинская,2048,82.87322463768123
722,Костанайская,2048,81.98746376811596
638,Жетісу,2048,74.38
554,Атырауская,2048,85.20206521739124
750,Кызылординская,2048,82.90090579710147
918,г. Алматы,2048,86.95083333333332
526,Алматинская,2048,82.14750000000004
890,Туркестанская*,2048,81.09605072463773
498,Актюбинская,2048,87.32684782608692
694,Карагандинская,2048,83.11152173913035
442,Абай,2048,73.8
778,Мангистауская,2048,88.75126811594203
946,г. Астана,2048,85.36271739130439
610,Жамбылская,2048,81.47626811594205
695,Карагандинская,2049,83.5328956521738
751,Кызылординская,2049,83.27301884057977
583,Восточно-Казахстанская,2049,82.57157681159413
835,Республика Казахстан ,2049,84.25866086956523
947,г. Астана,2049,85.69515652173914
919,г. Алматы,2049,87.3558333333333
975,г. Шымкент,2049,65.3758095238095
527,Алматинская,2049,82.4828
471,Акмолинская,2049,83.29175507246384
891,Туркестанская*,2049,81.39708985507252
639,Жетісу,2049,74.38
1003,Ұлытау,2049,71.44
499,Актюбинская,2049,87.81513043478253
555,Атырауская,2049,85.63848695652166
611,Жамбылская,2049,81.80644637681166
779,Мангистауская,2049,89.27214637681152
807,Павлодарская,2049,82.59832463768112
443,Абай,2049,73.8
723,Костанайская,2049,82.35630724637679
863,Северо-Казахстанская,2049,80.3333579710145
667,Западно-Казахстанская,2049,83.47450000000003
696,Карагандинская,2050,83.95426956521726
584,Восточно-Казахстанская,2050,82.95003768115942
976,г. Шымкент,2050,65.103238095238
836,Республика Казахстан ,2050,84.65362608695648
808,Павлодарская,2050,82.96777246376814
864,Северо-Казахстанская,2050,80.66700579710152
556,Атырауская,2050,86.07490869565208
612,Жамбылская,2050,82.13662463768117
444,Абай,2050,73.8
780,Мангистауская,2050,89.79302463768124
668,Западно-Казахстанская,2050,83.8565000000001
892,Туркестанская*,2050,81.69812898550731
752,Кызылординская,2050,83.64513188405795
920,г. Алматы,2050,87.76083333333327
500,Актюбинская,2050,88.30341304347826
640,Жетісу,2050,74.38
724,Костанайская,2050,82.72515072463773
948,г. Астана,2050,86.027595652174
472,Акмолинская,2050,83.71028550724645
528,Алматинская,2050,82.81810000000007
1004,Ұлытау,2050,71.44
