Регион,Год,Ожидаемый возраст населения при рождении
Павлодарская,2011,68.29
Северо-Казахстанская,2011,66.76
Туркестанская*,2011,69.87
Восточно-Казахстанская,2011,67.66
г. Астана,2011,73.61
г. Алматы,2011,71.74
Республика Казахстан ,2012,69.52
Акмолинская,2012,67.27
Актюбинская,2012,70.06
Алматинская,2012,69.84
Атырауская,2012,69.34
Западно-Казахстанская,2012,69.58
Жамбылская,2012,69.32
Карагандинская,2012,67.4
Костанайская,2012,68.28
Кызылординская,2012,69.29
Мангистауская,2012,71.19
Павлодарская,2012,68.73
Северо-Казахстанская,2012,67.37
Туркестанская*,2012,70.55
Восточно-Казахстанская,2012,68.41
г. Астана,2012,73.64
г. Алматы,2012,72.52
Республика Казахстан ,2013,70.62
Акмолинская,2013,68.54
Актюбинская,2013,71.38
Алматинская,2013,70.99
Атырауская,2013,70.98
Западно-Казахстанская,2013,70.39
Жамбылская,2013,69.9
Карагандинская,2013,69.03
Костанайская,2013,69.69
Кызылординская,2013,70.47
Мангистауская,2013,71.73
Павлодарская,2013,70.16
Северо-Казахстанская,2013,68.07
Туркестанская*,2013,71.11
Восточно-Казахстанская,2013,69.61
г. Астана,2013,74.45
г. Алматы,2013,73.55
Республика Казахстан ,2014,71.44
Акмолинская,2014,69.68
Актюбинская,2014,71.94
Алматинская,2014,71.82
Атырауская,2014,71.66
Западно-Казахстанская,2014,71.11
Жамбылская,2014,70.96
Карагандинская,2014,70.12
Костанайская,2014,70.3
Кызылординская,2014,70.78
Мангистауская,2014,72.43
Павлодарская,2014,70.59
Северо-Казахстанская,2014,69.62
Туркестанская*,2014,71.61
Восточно-Казахстанская,2014,70.61
г. Астана,2014,74.88
г. Алматы,2014,74.07
Республика Казахстан ,2015,71.97
Акмолинская,2015,70.38
Актюбинская,2015,72.33
Алматинская,2015,71.87
Атырауская,2015,72.26
Западно-Казахстанская,2015,71.56
Жамбылская,2015,71.64
Карагандинская,2015,70.55
Костанайская,2015,70.73
Кызылординская,2015,71.8
Мангистауская,2015,72.83
Павлодарская,2015,71.4
Северо-Казахстанская,2015,70.39
Туркестанская*,2015,72.14
Восточно-Казахстанская,2015,70.83
г. Астана,2015,74.67
г. Алматы,2015,75.39
Республика Казахстан ,2016,72.41
Акмолинская,2016,70.91
Актюбинская,2016,72.82
Алматинская,2016,72.46
Атырауская,2016,71.68
Западно-Казахстанская,2016,71.66
Жамбылская,2016,71.93
Карагандинская,2016,70.89
Костанайская,2016,71.36
Кызылординская,2016,71.91
Мангистауская,2016,73.58
Павлодарская,2016,71.72
Северо-Казахстанская,2016,71.01
Туркестанская*,2016,72.58
Восточно-Казахстанская,2016,71.45
г. Астана,2016,74.85
г. Алматы,2016,75.78
Республика Казахстан ,2017,72.95
Акмолинская,2017,70.8
Актюбинская,2017,73.47
Алматинская,2017,72.7
Атырауская,2017,73.22
Западно-Казахстанская,2017,72.38
Жамбылская,2017,72.43
Карагандинская,2017,71.57
Костанайская,2017,72.2
Кызылординская,2017,72.6
Мангистауская,2017,74.34
Павлодарская,2017,72.1
Северо-Казахстанская,2017,70.86
Туркестанская*,2017,72.45
Восточно-Казахстанская,2017,71.97
г. Астана,2017,76.21
г. Алматы,2017,76.01
г. Шымкент,2017,74.34
Республика Казахстан ,2018,73.15
Акмолинская,2018,71.6
Актюбинская,2018,73.45
Алматинская,2018,73.44
Атырауская,2018,73.13
Западно-Казахстанская,2018,72.43
Жамбылская,2018,72.79
Карагандинская,2018,71.7
Костанайская,2018,72.36
Кызылординская,2018,72.98
Мангистауская,2018,73.73
Павлодарская,2018,72.31
Северо-Казахстанская,2018,71.14
Туркестанская*,2018,72.95
Восточно-Казахстанская,2018,71.97
г. Астана,2018,76.21
г. Алматы,2018,75.54
г. Шымкент,2018,74.65
Республика Казахстан ,2019,73.18
Акмолинская,2019,71.43
Актюбинская,2019,73.58
Алматинская,2019,73.41
Атырауская,2019,73.27
Западно-Казахстанская,2019,72.81
Жамбылская,2019,72.63
Карагандинская,2019,71.69
Костанайская,2019,72.42
Кызылординская,2019,72.79
Мангистауская,2019,74.14
Павлодарская,2019,72.33
Северо-Казахстанская,2019,70.7
Туркестанская*,2019,72.73
Восточно-Казахстанская,2019,72.07
г. Астана,2019,76.75
г. Алматы,2019,75.45
г. Шымкент,2019,74.41
Республика Казахстан ,2020,71.37
Акмолинская,2020,70.09
Актюбинская,2020,71.69
Алматинская,2020,71.73
Атырауская,2020,70.52
Западно-Казахстанская,2020,70.87
Жамбылская,2020,70.63
Карагандинская,2020,70.38
Костанайская,2020,70.72
Кызылординская,2020,70.15
Мангистауская,2020,71.1
Павлодарская,2020,70.75
Северо-Казахстанская,2020,69.9
Туркестанская*,2020,70.67
Восточно-Казахстанская,2020,70.85
г. Астана,2020,73.49
г. Алматы,2020,74.02
г. Шымкент,2020,71
Республика Казахстан ,2021,70.23
Акмолинская,2021,68.86
Актюбинская,2021,70.83
Алматинская,2021,70.53
Атырауская,2021,70.01
Западно-Казахстанская,2021,69.69
Жамбылская,2021,69.15
Карагандинская,2021,69.14
Костанайская,2021,69.29
Кызылординская,2021,70.83
Мангистауская,2021,70.57
Павлодарская,2021,68.93
Северо-Казахстанская,2021,68.57
Туркестанская*,2021,70.18
Восточно-Казахстанская,2021,69.33
г. Астана,2021,72.87
г. Алматы,2021,71.97
г. Шымкент,2021,70.49
Республика Казахстан ,2022,74.44
Абай,2022,73.8
Акмолинская,2022,73.48
Актюбинская,2022,74.85
Алматинская,2022,73.87
Атырауская,2022,74.66
Западно-Казахстанская,2022,73.76
Жамбылская,2022,74.87
Жетісу,2022,74.38
Карагандинская,2022,72.3
Костанайская,2022,72.68
Кызылординская,2022,74.21
Мангистауская,2022,75.83
Павлодарская,2022,72.9
Северо-Казахстанская,2022,72.27
Туркестанская*,2022,75.04
Ұлытау,2022,71.44
Восточно-Казахстанская,2022,72.37
г. Астана,2022,77.3
г. Алматы,2022,77.32
г. Шымкент,2022,75.61
