,Регион,Год,Число больничных органзаций
486,Атырауская,2049,9.537593984962314
570,Жетысу,2049,36.0
542,Жамбылская,2049,29.506015037593897
822,Туркестанская**,2049,-118.61804511278206
430,Актюбинская,2049,19.863157894736787
738,Павлодарская,2049,-25.57142857142844
626,Карагандинская,2049,16.390225563910462
374,Абай,2049,30.0
710,Мангистауская,2049,24.271428571428544
878,город Алматы,2049,152.82030075187959
682,Кызылординская,2049,-21.905263157895206
402,Акмолинская,2049,-17.918045112781783
766,Республика Казахстан,2049,287.6699248120276
850,Улытау,2049,11.0
794,Северо-Казахстанская,2049,-23.582706766917454
654,Костанайская,2049,17.850375939849528
458,Алматинская,2049,57.02857142857124
934,город Шымкент,2049,417.2000000000007
543,Жамбылская,2050,28.792481203007583
403,Акмолинская,2050,-19.57744360902234
375,Абай,2050,30.0
767,Республика Казахстан,2050,269.83759398496477
795,Северо-Казахстанская,2050,-25.146616541353524
851,Улытау,2050,11.0
515,Восточно-Казахстанская,2050,-35.582706766917
627,Карагандинская,2050,14.387218045113514
739,Павлодарская,2050,-27.68571428571431
571,Жетысу,2050,36.0
431,Актюбинская,2050,19.02105263157887
711,Мангистауская,2050,24.08571428571429
879,город Алматы,2050,155.04962406014965
683,Кызылординская,2050,-23.96842105263204
823,Туркестанская**,2050,-124.97744360902288
599,Западно-Казахстанская,2050,-20.089473684211043
907,город Астана,2050,62.40751879699269
655,Костанайская,2050,16.912030075187886
459,Алматинская,2050,56.31428571428569
487,Атырауская,2050,8.803007518796903
935,город Шымкент,2050,430.0
