,Регион,Год,Число больничных органзаций,Unnamed: 0,index,ranks
0,Акмолинская,2003,52,,1.0,1
1,Акмолинская,2003,52,,2.7,2
2,Акмолинская,2003,52,,4.4,3
3,Акмолинская,2003,52,,6.1,4
4,Акмолинская,2003,52,,7.8,5
5,Акмолинская,2003,52,,9.5,6
6,Акмолинская,2003,52,,11.2,7
7,Акмолинская,2003,52,,12.9,8
8,Акмолинская,2003,52,,14.6,9
9,Акмолинская,2003,52,,16.299999999999997,10
0,Актюбинская,2003,52,,2.0,1
1,Актюбинская,2003,52,,3.7,2
2,Актюбинская,2003,52,,5.4,3
3,Актюбинская,2003,52,,7.1,4
4,Актюбинская,2003,52,,8.8,5
5,Актюбинская,2003,53,,10.5,6
6,Актюбинская,2003,53,,12.2,7
7,Актюбинская,2003,53,,13.9,8
8,Актюбинская,2003,53,,15.6,9
9,Актюбинская,2003,53,,17.299999999999997,10
9,Алматинская,2003,82,,18.299999999999997,1
8,Алматинская,2003,82,,16.6,2
7,Алматинская,2003,82,,14.9,3
6,Алматинская,2003,82,,13.2,4
5,Алматинская,2003,82,,11.5,5
4,Алматинская,2003,82,,9.8,6
3,Алматинская,2003,82,,8.1,7
2,Алматинская,2003,82,,6.4,8
1,Алматинская,2003,82,,4.7,9
0,Алматинская,2003,83,,3.0,10
0,Атырауская,2003,39,,4.0,1
1,Атырауская,2003,39,,5.7,2
2,Атырауская,2003,39,,7.4,3
3,Атырауская,2003,39,,9.1,4
4,Атырауская,2003,39,,10.8,5
5,Атырауская,2003,39,,12.5,6
6,Атырауская,2003,39,,14.2,7
7,Атырауская,2003,39,,15.9,8
8,Атырауская,2003,39,,17.6,9
9,Атырауская,2003,39,,19.299999999999997,10
0,ВКО,2003,104,,14.0,1
1,ВКО,2003,104,,15.7,2
2,ВКО,2003,104,,17.4,3
3,ВКО,2003,104,,19.1,4
4,ВКО,2003,104,,20.8,5
5,ВКО,2003,104,,22.5,6
6,ВКО,2003,104,,24.2,7
7,ВКО,2003,104,,25.9,8
8,ВКО,2003,104,,27.6,9
9,ВКО,2003,104,,29.299999999999997,10
0,Жамбылская,2003,58,,6.0,1
1,Жамбылская,2003,58,,7.7,2
2,Жамбылская,2003,58,,9.4,3
3,Жамбылская,2003,58,,11.1,4
4,Жамбылская,2003,58,,12.8,5
5,Жамбылская,2003,58,,14.5,6
6,Жамбылская,2003,58,,16.2,7
7,Жамбылская,2003,58,,17.9,8
8,Жамбылская,2003,58,,19.6,9
9,Жамбылская,2003,58,,21.299999999999997,10
9,ЗКО,2003,54,,20.299999999999997,1
8,ЗКО,2003,54,,18.6,2
7,ЗКО,2003,54,,16.9,3
6,ЗКО,2003,54,,15.2,4
5,ЗКО,2003,55,,13.5,5
4,ЗКО,2003,55,,11.8,6
3,ЗКО,2003,55,,10.1,7
2,ЗКО,2003,55,,8.4,8
1,ЗКО,2003,55,,6.7,9
0,ЗКО,2003,56,,5.0,10
0,Карагандинская,2003,91,,7.0,1
1,Карагандинская,2003,91,,8.7,2
2,Карагандинская,2003,92,,10.4,3
3,Карагандинская,2003,93,,12.1,4
4,Карагандинская,2003,94,,13.8,5
5,Карагандинская,2003,95,,15.5,6
6,Карагандинская,2003,96,,17.2,7
7,Карагандинская,2003,97,,18.9,8
8,Карагандинская,2003,98,,20.6,9
9,Карагандинская,2003,99,,22.299999999999997,10
0,Костанайская,2003,51,,8.0,1
1,Костанайская,2003,51,,9.7,2
2,Костанайская,2003,51,,11.4,3
3,Костанайская,2003,51,,13.1,4
4,Костанайская,2003,51,,14.8,5
5,Костанайская,2003,51,,16.5,6
6,Костанайская,2003,51,,18.2,7
7,Костанайская,2003,51,,19.9,8
8,Костанайская,2003,51,,21.6,9
9,Костанайская,2003,51,,23.299999999999997,10
0,Кызылординская,2003,64,,9.0,1
1,Кызылординская,2003,64,,10.7,2
2,Кызылординская,2003,64,,12.4,3
3,Кызылординская,2003,64,,14.1,4
4,Кызылординская,2003,64,,15.8,5
5,Кызылординская,2003,65,,17.5,6
6,Кызылординская,2003,65,,19.2,7
7,Кызылординская,2003,65,,20.9,8
8,Кызылординская,2003,65,,22.6,9
9,Кызылординская,2003,65,,24.299999999999997,10
0,Мангистауская,2003,35,,10.0,1
1,Мангистауская,2003,35,,11.7,2
2,Мангистауская,2003,35,,13.4,3
3,Мангистауская,2003,35,,15.1,4
4,Мангистауская,2003,35,,16.8,5
5,Мангистауская,2003,35,,18.5,6
6,Мангистауская,2003,35,,20.2,7
7,Мангистауская,2003,35,,21.9,8
8,Мангистауская,2003,35,,23.6,9
9,Мангистауская,2003,35,,25.299999999999997,10
0,Павлодарская,2003,69,,11.0,1
1,Павлодарская,2003,69,,12.7,2
2,Павлодарская,2003,69,,14.4,3
3,Павлодарская,2003,69,,16.1,4
4,Павлодарская,2003,69,,17.8,5
5,Павлодарская,2003,69,,19.5,6
6,Павлодарская,2003,69,,21.2,7
7,Павлодарская,2003,69,,22.9,8
8,Павлодарская,2003,69,,24.6,9
9,Павлодарская,2003,69,,26.299999999999997,10
0,Республика Казахстан,2003,1029,,0.0,1
1,Республика Казахстан,2003,1030,,1.7,2
2,Республика Казахстан,2003,1031,,3.4,3
3,Республика Казахстан,2003,1032,,5.1,4
4,Республика Казахстан,2003,1034,,6.8,5
5,Республика Казахстан,2003,1035,,8.5,6
6,Республика Казахстан,2003,1036,,10.2,7
7,Республика Казахстан,2003,1038,,11.9,8
8,Республика Казахстан,2003,1039,,13.6,9
9,Республика Казахстан,2003,1040,,15.299999999999999,10
0,СКО,2003,49,,12.0,1
1,СКО,2003,49,,13.7,2
2,СКО,2003,49,,15.4,3
3,СКО,2003,49,,17.1,4
4,СКО,2003,49,,18.8,5
5,СКО,2003,49,,20.5,6
6,СКО,2003,49,,22.2,7
7,СКО,2003,49,,23.9,8
8,СКО,2003,49,,25.6,9
9,СКО,2003,49,,27.299999999999997,10
0,Туркестанская**,2003,154,,13.0,1
1,Туркестанская**,2003,154,,14.7,2
2,Туркестанская**,2003,154,,16.4,3
3,Туркестанская**,2003,154,,18.1,4
4,Туркестанская**,2003,154,,19.8,5
5,Туркестанская**,2003,154,,21.5,6
6,Туркестанская**,2003,154,,23.2,7
7,Туркестанская**,2003,154,,24.9,8
8,Туркестанская**,2003,154,,26.6,9
9,Туркестанская**,2003,154,,28.299999999999997,10
9,город Алматы,2003,52,,31.299999999999997,1
8,город Алматы,2003,52,,29.6,2
7,город Алматы,2003,52,,27.9,3
6,город Алматы,2003,52,,26.2,4
5,город Алматы,2003,52,,24.5,5
4,город Алматы,2003,52,,22.8,6
3,город Алматы,2003,52,,21.1,7
2,город Алматы,2003,52,,19.4,8
1,город Алматы,2003,52,,17.7,9
0,город Алматы,2003,53,,16.0,10
0,город Астана,2003,19,,15.0,1
1,город Астана,2003,19,,16.7,2
2,город Астана,2003,19,,18.4,3
3,город Астана,2003,19,,20.1,4
4,город Астана,2003,19,,21.8,5
5,город Астана,2003,19,,23.5,6
6,город Астана,2003,19,,25.2,7
7,город Астана,2003,19,,26.9,8
8,город Астана,2003,19,,28.6,9
9,город Астана,2003,19,,30.299999999999997,10
10,Акмолинская,2004,53,,18.0,11
11,Акмолинская,2004,53,,19.7,12
12,Акмолинская,2004,53,,21.4,13
13,Акмолинская,2004,53,,23.1,14
14,Акмолинская,2004,53,,24.8,15
15,Акмолинская,2004,53,,26.5,16
16,Акмолинская,2004,53,,28.2,17
17,Акмолинская,2004,53,,29.9,18
18,Акмолинская,2004,53,,31.6,19
19,Акмолинская,2004,53,,33.3,20
10,Актюбинская,2004,54,,19.0,11
11,Актюбинская,2004,54,,20.7,12
12,Актюбинская,2004,54,,22.4,13
13,Актюбинская,2004,54,,24.1,14
14,Актюбинская,2004,54,,25.8,15
15,Актюбинская,2004,55,,27.5,16
16,Актюбинская,2004,55,,29.2,17
17,Актюбинская,2004,55,,30.9,18
18,Актюбинская,2004,55,,32.6,19
19,Актюбинская,2004,55,,34.3,20
10,Алматинская,2004,82,,20.0,11
11,Алматинская,2004,82,,21.7,12
12,Алматинская,2004,83,,23.4,13
13,Алматинская,2004,83,,25.1,14
14,Алматинская,2004,84,,26.8,15
15,Алматинская,2004,84,,28.5,16
16,Алматинская,2004,85,,30.2,17
17,Алматинская,2004,85,,31.9,18
18,Алматинская,2004,86,,33.6,19
19,Алматинская,2004,86,,35.3,20
10,Атырауская,2004,39,,21.0,11
11,Атырауская,2004,39,,22.7,12
12,Атырауская,2004,39,,24.4,13
13,Атырауская,2004,39,,26.1,14
14,Атырауская,2004,39,,27.8,15
15,Атырауская,2004,40,,29.5,16
16,Атырауская,2004,40,,31.2,17
17,Атырауская,2004,40,,32.9,18
18,Атырауская,2004,40,,34.6,19
19,Атырауская,2004,40,,36.3,20
10,ВКО,2004,105,,31.0,11
11,ВКО,2004,105,,32.7,12
12,ВКО,2004,105,,34.4,13
13,ВКО,2004,105,,36.1,14
14,ВКО,2004,105,,37.8,15
15,ВКО,2004,105,,39.5,16
16,ВКО,2004,105,,41.2,17
17,ВКО,2004,105,,42.9,18
18,ВКО,2004,105,,44.6,19
19,ВКО,2004,105,,46.3,20
10,Жамбылская,2004,58,,23.0,11
11,Жамбылская,2004,58,,24.7,12
12,Жамбылская,2004,58,,26.4,13
13,Жамбылская,2004,58,,28.1,14
14,Жамбылская,2004,58,,29.8,15
15,Жамбылская,2004,58,,31.5,16
16,Жамбылская,2004,58,,33.2,17
17,Жамбылская,2004,58,,34.9,18
18,Жамбылская,2004,58,,36.6,19
19,Жамбылская,2004,58,,38.3,20
10,ЗКО,2004,54,,22.0,11
11,ЗКО,2004,54,,23.7,12
12,ЗКО,2004,54,,25.4,13
13,ЗКО,2004,54,,27.1,14
14,ЗКО,2004,54,,28.8,15
15,ЗКО,2004,54,,30.5,16
16,ЗКО,2004,54,,32.2,17
17,ЗКО,2004,54,,33.9,18
18,ЗКО,2004,54,,35.6,19
19,ЗКО,2004,54,,37.3,20
10,Карагандинская,2004,100,,24.0,11
11,Карагандинская,2004,100,,25.7,12
12,Карагандинская,2004,100,,27.4,13
13,Карагандинская,2004,100,,29.1,14
14,Карагандинская,2004,101,,30.8,15
15,Карагандинская,2004,101,,32.5,16
16,Карагандинская,2004,101,,34.2,17
17,Карагандинская,2004,102,,35.9,18
18,Карагандинская,2004,102,,37.6,19
19,Карагандинская,2004,102,,39.3,20
10,Костанайская,2004,52,,25.0,11
11,Костанайская,2004,52,,26.7,12
12,Костанайская,2004,52,,28.4,13
13,Костанайская,2004,53,,30.1,14
14,Костанайская,2004,53,,31.8,15
15,Костанайская,2004,54,,33.5,16
16,Костанайская,2004,54,,35.2,17
17,Костанайская,2004,54,,36.9,18
18,Костанайская,2004,55,,38.6,19
19,Костанайская,2004,55,,40.3,20
10,Кызылординская,2004,66,,26.0,11
11,Кызылординская,2004,66,,27.7,12
12,Кызылординская,2004,66,,29.4,13
13,Кызылординская,2004,66,,31.1,14
14,Кызылординская,2004,66,,32.8,15
15,Кызылординская,2004,66,,34.5,16
16,Кызылординская,2004,66,,36.2,17
17,Кызылординская,2004,66,,37.9,18
18,Кызылординская,2004,66,,39.6,19
19,Кызылординская,2004,66,,41.3,20
19,Мангистауская,2004,33,,42.3,11
18,Мангистауская,2004,33,,40.6,12
17,Мангистауская,2004,33,,38.9,13
16,Мангистауская,2004,34,,37.2,14
15,Мангистауская,2004,34,,35.5,15
14,Мангистауская,2004,34,,33.8,16
13,Мангистауская,2004,35,,32.1,17
12,Мангистауская,2004,35,,30.4,18
11,Мангистауская,2004,35,,28.7,19
10,Мангистауская,2004,36,,27.0,20
10,Павлодарская,2004,69,,28.0,11
11,Павлодарская,2004,69,,29.7,12
12,Павлодарская,2004,69,,31.4,13
13,Павлодарская,2004,69,,33.1,14
14,Павлодарская,2004,69,,34.8,15
15,Павлодарская,2004,69,,36.5,16
16,Павлодарская,2004,69,,38.2,17
17,Павлодарская,2004,69,,39.9,18
18,Павлодарская,2004,69,,41.6,19
19,Павлодарская,2004,69,,43.3,20
10,Республика Казахстан,2004,1042,,17.0,11
11,Республика Казахстан,2004,1044,,18.7,12
12,Республика Казахстан,2004,1046,,20.4,13
13,Республика Казахстан,2004,1048,,22.1,14
14,Республика Казахстан,2004,1050,,23.8,15
15,Республика Казахстан,2004,1052,,25.5,16
16,Республика Казахстан,2004,1054,,27.2,17
17,Республика Казахстан,2004,1056,,28.9,18
18,Республика Казахстан,2004,1058,,30.6,19
19,Республика Казахстан,2004,1060,,32.3,20
10,СКО,2004,49,,29.0,11
11,СКО,2004,49,,30.7,12
12,СКО,2004,49,,32.4,13
13,СКО,2004,49,,34.1,14
14,СКО,2004,49,,35.8,15
15,СКО,2004,49,,37.5,16
16,СКО,2004,49,,39.2,17
17,СКО,2004,49,,40.9,18
18,СКО,2004,49,,42.6,19
19,СКО,2004,49,,44.3,20
10,Туркестанская**,2004,154,,30.0,11
11,Туркестанская**,2004,154,,31.7,12
12,Туркестанская**,2004,154,,33.4,13
13,Туркестанская**,2004,154,,35.1,14
14,Туркестанская**,2004,154,,36.8,15
15,Туркестанская**,2004,154,,38.5,16
16,Туркестанская**,2004,154,,40.2,17
17,Туркестанская**,2004,154,,41.9,18
18,Туркестанская**,2004,154,,43.6,19
19,Туркестанская**,2004,154,,45.3,20
10,город Алматы,2004,52,,33.0,11
11,город Алматы,2004,52,,34.7,12
12,город Алматы,2004,52,,36.4,13
13,город Алматы,2004,52,,38.1,14
14,город Алматы,2004,52,,39.8,15
15,город Алматы,2004,52,,41.5,16
16,город Алматы,2004,52,,43.2,17
17,город Алматы,2004,52,,44.9,18
18,город Алматы,2004,52,,46.6,19
19,город Алматы,2004,52,,48.3,20
10,город Астана,2004,19,,32.0,11
11,город Астана,2004,19,,33.7,12
12,город Астана,2004,19,,35.4,13
13,город Астана,2004,19,,37.1,14
14,город Астана,2004,19,,38.8,15
15,город Астана,2004,20,,40.5,16
16,город Астана,2004,20,,42.2,17
17,город Астана,2004,20,,43.9,18
18,город Астана,2004,20,,45.6,19
19,город Астана,2004,20,,47.3,20
20,Акмолинская,2005,54,,35.0,21
21,Акмолинская,2005,54,,36.7,22
22,Акмолинская,2005,55,,38.4,23
23,Акмолинская,2005,56,,40.1,24
24,Акмолинская,2005,57,,41.8,25
25,Акмолинская,2005,58,,43.5,26
26,Акмолинская,2005,58,,45.2,27
27,Акмолинская,2005,59,,46.9,28
28,Акмолинская,2005,60,,48.6,29
29,Акмолинская,2005,61,,50.3,30
20,Актюбинская,2005,56,,36.0,21
21,Актюбинская,2005,56,,37.7,22
22,Актюбинская,2005,56,,39.4,23
23,Актюбинская,2005,56,,41.1,24
24,Актюбинская,2005,57,,42.8,25
25,Актюбинская,2005,57,,44.5,26
26,Актюбинская,2005,57,,46.2,27
27,Актюбинская,2005,58,,47.9,28
28,Актюбинская,2005,58,,49.6,29
29,Актюбинская,2005,58,,51.3,30
29,Алматинская,2005,82,,52.3,21
28,Алматинская,2005,83,,50.6,22
27,Алматинская,2005,83,,48.9,23
26,Алматинская,2005,84,,47.2,24
25,Алматинская,2005,84,,45.5,25
24,Алматинская,2005,85,,43.8,26
23,Алматинская,2005,85,,42.1,27
22,Алматинская,2005,86,,40.4,28
21,Алматинская,2005,86,,38.7,29
20,Алматинская,2005,87,,37.0,30
20,Атырауская,2005,41,,38.0,21
21,Атырауская,2005,41,,39.7,22
22,Атырауская,2005,41,,41.4,23
23,Атырауская,2005,41,,43.1,24
24,Атырауская,2005,41,,44.8,25
25,Атырауская,2005,42,,46.5,26
26,Атырауская,2005,42,,48.2,27
27,Атырауская,2005,42,,49.9,28
28,Атырауская,2005,42,,51.6,29
29,Атырауская,2005,42,,53.3,30
20,ВКО,2005,106,,48.0,21
21,ВКО,2005,106,,49.7,22
22,ВКО,2005,107,,51.4,23
23,ВКО,2005,108,,53.1,24
24,ВКО,2005,109,,54.8,25
25,ВКО,2005,110,,56.5,26
26,ВКО,2005,110,,58.2,27
27,ВКО,2005,111,,59.9,28
28,ВКО,2005,112,,61.6,29
29,ВКО,2005,113,,63.3,30
20,Жамбылская,2005,58,,40.0,21
21,Жамбылская,2005,58,,41.7,22
22,Жамбылская,2005,58,,43.4,23
23,Жамбылская,2005,58,,45.1,24
24,Жамбылская,2005,59,,46.8,25
25,Жамбылская,2005,59,,48.5,26
26,Жамбылская,2005,59,,50.2,27
27,Жамбылская,2005,60,,51.9,28
28,Жамбылская,2005,60,,53.6,29
29,Жамбылская,2005,60,,55.3,30
29,ЗКО,2005,53,,54.3,21
28,ЗКО,2005,53,,52.6,22
27,ЗКО,2005,53,,50.9,23
26,ЗКО,2005,53,,49.2,24
25,ЗКО,2005,53,,47.5,25
24,ЗКО,2005,53,,45.8,26
23,ЗКО,2005,53,,44.1,27
22,ЗКО,2005,53,,42.4,28
21,ЗКО,2005,53,,40.7,29
20,ЗКО,2005,54,,39.0,30
20,Карагандинская,2005,103,,41.0,21
21,Карагандинская,2005,103,,42.7,22
22,Карагандинская,2005,103,,44.4,23
23,Карагандинская,2005,103,,46.1,24
24,Карагандинская,2005,104,,47.8,25
25,Карагандинская,2005,104,,49.5,26
26,Карагандинская,2005,104,,51.2,27
27,Карагандинская,2005,105,,52.9,28
28,Карагандинская,2005,105,,54.6,29
29,Карагандинская,2005,105,,56.3,30
20,Костанайская,2005,56,,42.0,21
21,Костанайская,2005,56,,43.7,22
22,Костанайская,2005,57,,45.4,23
23,Костанайская,2005,58,,47.1,24
24,Костанайская,2005,59,,48.8,25
25,Костанайская,2005,60,,50.5,26
26,Костанайская,2005,60,,52.2,27
27,Костанайская,2005,61,,53.9,28
28,Костанайская,2005,62,,55.6,29
29,Костанайская,2005,63,,57.3,30
20,Кызылординская,2005,67,,43.0,21
21,Кызылординская,2005,67,,44.7,22
22,Кызылординская,2005,67,,46.4,23
23,Кызылординская,2005,67,,48.1,24
24,Кызылординская,2005,68,,49.8,25
25,Кызылординская,2005,68,,51.5,26
26,Кызылординская,2005,68,,53.2,27
27,Кызылординская,2005,69,,54.9,28
28,Кызылординская,2005,69,,56.6,29
29,Кызылординская,2005,69,,58.3,30
20,Мангистауская,2005,33,,44.0,21
21,Мангистауская,2005,33,,45.7,22
22,Мангистауская,2005,33,,47.4,23
23,Мангистауская,2005,33,,49.1,24
24,Мангистауская,2005,33,,50.8,25
25,Мангистауская,2005,33,,52.5,26
26,Мангистауская,2005,33,,54.2,27
27,Мангистауская,2005,33,,55.9,28
28,Мангистауская,2005,33,,57.6,29
29,Мангистауская,2005,33,,59.3,30
29,Павлодарская,2005,64,,60.3,21
28,Павлодарская,2005,65,,58.6,22
27,Павлодарская,2005,65,,56.9,23
26,Павлодарская,2005,66,,55.2,24
25,Павлодарская,2005,67,,53.5,25
24,Павлодарская,2005,67,,51.8,26
23,Павлодарская,2005,68,,50.1,27
22,Павлодарская,2005,68,,48.4,28
21,Павлодарская,2005,69,,46.7,29
20,Павлодарская,2005,70,,45.0,30
20,Республика Казахстан,2005,1063,,34.0,21
21,Республика Казахстан,2005,1065,,35.7,22
22,Республика Казахстан,2005,1067,,37.4,23
23,Республика Казахстан,2005,1069,,39.1,24
24,Республика Казахстан,2005,1072,,40.8,25
25,Республика Казахстан,2005,1074,,42.5,26
26,Республика Казахстан,2005,1076,,44.2,27
27,Республика Казахстан,2005,1079,,45.9,28
28,Республика Казахстан,2005,1081,,47.6,29
29,Республика Казахстан,2005,1083,,49.3,30
20,СКО,2005,49,,46.0,21
21,СКО,2005,49,,47.7,22
22,СКО,2005,49,,49.4,23
23,СКО,2005,49,,51.1,24
24,СКО,2005,49,,52.8,25
25,СКО,2005,49,,54.5,26
26,СКО,2005,49,,56.2,27
27,СКО,2005,49,,57.9,28
28,СКО,2005,49,,59.6,29
29,СКО,2005,49,,61.3,30
29,Туркестанская**,2005,153,,62.3,21
28,Туркестанская**,2005,153,,60.6,22
27,Туркестанская**,2005,153,,58.9,23
26,Туркестанская**,2005,153,,57.2,24
25,Туркестанская**,2005,154,,55.5,25
24,Туркестанская**,2005,154,,53.8,26
23,Туркестанская**,2005,154,,52.1,27
22,Туркестанская**,2005,154,,50.4,28
21,Туркестанская**,2005,154,,48.7,29
20,Туркестанская**,2005,155,,47.0,30
29,город Алматы,2005,51,,65.3,21
28,город Алматы,2005,51,,63.6,22
27,город Алматы,2005,51,,61.9,23
26,город Алматы,2005,51,,60.2,24
25,город Алматы,2005,52,,58.5,25
24,город Алматы,2005,52,,56.8,26
23,город Алматы,2005,52,,55.1,27
22,город Алматы,2005,52,,53.4,28
21,город Алматы,2005,52,,51.7,29
20,город Алматы,2005,53,,50.0,30
20,город Астана,2005,21,,49.0,21
21,город Астана,2005,21,,50.7,22
22,город Астана,2005,21,,52.4,23
23,город Астана,2005,21,,54.1,24
24,город Астана,2005,21,,55.8,25
25,город Астана,2005,21,,57.5,26
26,город Астана,2005,21,,59.2,27
27,город Астана,2005,21,,60.9,28
28,город Астана,2005,21,,62.6,29
29,город Астана,2005,21,,64.3,30
39,Акмолинская,2006,59,,67.3,31
38,Акмолинская,2006,59,,65.6,32
37,Акмолинская,2006,59,,63.9,33
36,Акмолинская,2006,60,,62.2,34
35,Акмолинская,2006,60,,60.5,35
34,Акмолинская,2006,60,,58.8,36
33,Акмолинская,2006,61,,57.1,37
32,Акмолинская,2006,61,,55.4,38
31,Акмолинская,2006,61,,53.7,39
30,Акмолинская,2006,62,,52.0,40
39,Актюбинская,2006,58,,68.3,31
38,Актюбинская,2006,58,,66.6,32
37,Актюбинская,2006,58,,64.9,33
36,Актюбинская,2006,58,,63.2,34
35,Актюбинская,2006,58,,61.5,35
34,Актюбинская,2006,58,,59.8,36
33,Актюбинская,2006,58,,58.1,37
32,Актюбинская,2006,58,,56.4,38
31,Актюбинская,2006,58,,54.7,39
30,Актюбинская,2006,59,,53.0,40
30,Алматинская,2006,82,,54.0,31
31,Алматинская,2006,82,,55.7,32
32,Алматинская,2006,82,,57.4,33
33,Алматинская,2006,82,,59.1,34
34,Алматинская,2006,83,,60.8,35
35,Алматинская,2006,83,,62.5,36
36,Алматинская,2006,83,,64.2,37
37,Алматинская,2006,84,,65.9,38
38,Алматинская,2006,84,,67.6,39
39,Алматинская,2006,84,,69.3,40
39,Атырауская,2006,40,,70.3,31
38,Атырауская,2006,40,,68.6,32
37,Атырауская,2006,40,,66.9,33
36,Атырауская,2006,41,,65.2,34
35,Атырауская,2006,41,,63.5,35
34,Атырауская,2006,41,,61.8,36
33,Атырауская,2006,42,,60.1,37
32,Атырауская,2006,42,,58.4,38
31,Атырауская,2006,42,,56.7,39
30,Атырауская,2006,43,,55.0,40
30,ВКО,2006,114,,65.0,31
31,ВКО,2006,114,,66.7,32
32,ВКО,2006,114,,68.4,33
33,ВКО,2006,114,,70.1,34
34,ВКО,2006,114,,71.8,35
35,ВКО,2006,115,,73.5,36
36,ВКО,2006,115,,75.2,37
37,ВКО,2006,115,,76.9,38
38,ВКО,2006,115,,78.6,39
39,ВКО,2006,115,,80.3,40
30,Жамбылская,2006,61,,57.0,31
31,Жамбылская,2006,61,,58.7,32
32,Жамбылская,2006,61,,60.4,33
33,Жамбылская,2006,61,,62.1,34
34,Жамбылская,2006,61,,63.8,35
35,Жамбылская,2006,61,,65.5,36
36,Жамбылская,2006,61,,67.2,37
37,Жамбылская,2006,61,,68.9,38
38,Жамбылская,2006,61,,70.6,39
39,Жамбылская,2006,61,,72.3,40
39,ЗКО,2006,51,,71.3,31
38,ЗКО,2006,51,,69.6,32
37,ЗКО,2006,51,,67.9,33
36,ЗКО,2006,51,,66.2,34
35,ЗКО,2006,52,,64.5,35
34,ЗКО,2006,52,,62.8,36
33,ЗКО,2006,52,,61.1,37
32,ЗКО,2006,52,,59.4,38
31,ЗКО,2006,52,,57.7,39
30,ЗКО,2006,53,,56.0,40
39,Карагандинская,2006,104,,73.3,31
38,Карагандинская,2006,104,,71.6,32
37,Карагандинская,2006,104,,69.9,33
36,Карагандинская,2006,104,,68.2,34
35,Карагандинская,2006,105,,66.5,35
34,Карагандинская,2006,105,,64.8,36
33,Карагандинская,2006,105,,63.1,37
32,Карагандинская,2006,105,,61.4,38
31,Карагандинская,2006,105,,59.7,39
30,Карагандинская,2006,106,,58.0,40
30,Костанайская,2006,64,,59.0,31
31,Костанайская,2006,64,,60.7,32
32,Костанайская,2006,64,,62.4,33
33,Костанайская,2006,64,,64.1,34
34,Костанайская,2006,64,,65.8,35
35,Костанайская,2006,64,,67.5,36
36,Костанайская,2006,64,,69.2,37
37,Костанайская,2006,64,,70.9,38
38,Костанайская,2006,64,,72.6,39
39,Костанайская,2006,64,,74.3,40
30,Кызылординская,2006,70,,60.0,31
31,Кызылординская,2006,70,,61.7,32
32,Кызылординская,2006,70,,63.4,33
33,Кызылординская,2006,70,,65.1,34
34,Кызылординская,2006,70,,66.8,35
35,Кызылординская,2006,70,,68.5,36
36,Кызылординская,2006,70,,70.2,37
37,Кызылординская,2006,70,,71.9,38
38,Кызылординская,2006,70,,73.6,39
39,Кызылординская,2006,70,,75.3,40
39,Мангистауская,2006,30,,76.3,31
38,Мангистауская,2006,30,,74.6,32
37,Мангистауская,2006,30,,72.9,33
36,Мангистауская,2006,31,,71.2,34
35,Мангистауская,2006,31,,69.5,35
34,Мангистауская,2006,31,,67.8,36
33,Мангистауская,2006,32,,66.1,37
32,Мангистауская,2006,32,,64.4,38
31,Мангистауская,2006,32,,62.7,39
30,Мангистауская,2006,33,,61.0,40
39,Павлодарская,2006,61,,77.3,31
38,Павлодарская,2006,61,,75.6,32
37,Павлодарская,2006,61,,73.9,33
36,Павлодарская,2006,62,,72.2,34
35,Павлодарская,2006,62,,70.5,35
34,Павлодарская,2006,62,,68.8,36
33,Павлодарская,2006,63,,67.1,37
32,Павлодарская,2006,63,,65.4,38
31,Павлодарская,2006,63,,63.7,39
30,Павлодарская,2006,64,,62.0,40
39,Республика Казахстан,2006,1058,,66.3,31
38,Республика Казахстан,2006,1061,,64.6,32
37,Республика Казахстан,2006,1064,,62.9,33
36,Республика Казахстан,2006,1067,,61.2,34
35,Республика Казахстан,2006,1070,,59.5,35
34,Республика Казахстан,2006,1073,,57.8,36
33,Республика Казахстан,2006,1076,,56.1,37
32,Республика Казахстан,2006,1079,,54.4,38
31,Республика Казахстан,2006,1082,,52.7,39
30,Республика Казахстан,2006,1086,,51.0,40
30,СКО,2006,49,,63.0,31
31,СКО,2006,49,,64.7,32
32,СКО,2006,49,,66.4,33
33,СКО,2006,49,,68.1,34
34,СКО,2006,49,,69.8,35
35,СКО,2006,49,,71.5,36
36,СКО,2006,49,,73.2,37
37,СКО,2006,49,,74.9,38
38,СКО,2006,49,,76.6,39
39,СКО,2006,49,,78.3,40
39,Туркестанская**,2006,135,,79.3,31
38,Туркестанская**,2006,137,,77.6,32
37,Туркестанская**,2006,139,,75.9,33
36,Туркестанская**,2006,141,,74.2,34
35,Туркестанская**,2006,143,,72.5,35
34,Туркестанская**,2006,145,,70.8,36
33,Туркестанская**,2006,147,,69.1,37
32,Туркестанская**,2006,149,,67.4,38
31,Туркестанская**,2006,151,,65.7,39
30,Туркестанская**,2006,153,,64.0,40
30,город Алматы,2006,51,,67.0,31
31,город Алматы,2006,51,,68.7,32
32,город Алматы,2006,51,,70.4,33
33,город Алматы,2006,51,,72.1,34
34,город Алматы,2006,51,,73.8,35
35,город Алматы,2006,51,,75.5,36
36,город Алматы,2006,51,,77.2,37
37,город Алматы,2006,51,,78.9,38
38,город Алматы,2006,51,,80.6,39
39,город Алматы,2006,51,,82.3,40
30,город Астана,2006,22,,66.0,31
31,город Астана,2006,22,,67.7,32
32,город Астана,2006,22,,69.4,33
33,город Астана,2006,22,,71.1,34
34,город Астана,2006,22,,72.8,35
35,город Астана,2006,22,,74.5,36
